rn,destSt,destNm,trDr,nextStaId,nextStpId,nextStaNm,prdt,arrT,flags,lat,lon,heading,resp_time,isApp,isDly
201,30171,O'Hare,1,40010,30001,Austin,2/15/2023 9:51:27,2/15/2023 9:52:27,,41.87147,-87.78443,95,2/15/2023 9:52:14,1,0
112,30171,O'Hare,1,40010,30001,Austin,2/15/2023 8:35:32,2/15/2023 8:36:32,,41.87147,-87.78443,95,2/15/2023 8:36:19,1,0
131,30171,O'Hare,1,40010,30001,Austin,2/15/2023 17:57:42,2/15/2023 17:58:42,,41.87147,-87.78443,95,2/15/2023 17:58:17,1,0
222,30171,O'Hare,1,40010,30001,Austin,2/15/2023 16:15:35,2/15/2023 16:16:35,,41.87147,-87.78443,95,2/15/2023 16:16:18,1,0
120,30171,O'Hare,1,40010,30001,Austin,2/16/2023 9:21:55,2/16/2023 9:22:55,,41.87147,-87.78443,95,2/16/2023 9:22:15,1,0
108,30171,O'Hare,1,40010,30001,Austin,2/16/2023 8:23:47,2/16/2023 8:24:47,,41.87147,-87.78443,95,2/16/2023 8:24:15,1,0
126,30171,O'Hare,1,40010,30001,Austin,2/16/2023 17:07:42,2/16/2023 17:08:42,,41.87147,-87.78443,95,2/16/2023 17:08:15,1,0
114,30171,O'Hare,1,40010,30001,Austin,2/15/2023 9:19:50,2/15/2023 9:21:50,,41.87188,-87.78905,95,2/15/2023 9:20:15,0,0
122,30171,O'Hare,1,40010,30001,Austin,2/15/2023 9:35:57,2/15/2023 9:37:57,,41.87188,-87.78905,95,2/15/2023 9:36:18,0,0
224,30171,O'Hare,1,40010,30001,Austin,2/15/2023 17:29:42,2/15/2023 17:31:42,,41.87188,-87.78905,95,2/15/2023 17:30:16,0,0
129,30171,O'Hare,1,40010,30001,Austin,2/15/2023 17:41:44,2/15/2023 17:43:44,,41.87188,-87.78905,95,2/15/2023 17:42:19,0,0
223,30171,O'Hare,1,40010,30001,Austin,2/15/2023 16:55:29,2/15/2023 16:57:29,,41.87188,-87.78905,95,2/15/2023 16:56:18,0,0
114,30171,O'Hare,1,40010,30001,Austin,2/16/2023 9:35:22,2/16/2023 9:37:22,,41.87188,-87.78905,95,2/16/2023 9:36:15,0,0
201,30171,O'Hare,1,40010,30001,Austin,2/16/2023 9:51:44,2/16/2023 9:53:44,,41.87188,-87.78905,95,2/16/2023 9:52:15,0,0
203,30171,O'Hare,1,40010,30001,Austin,2/16/2023 8:01:55,2/16/2023 8:03:55,,41.87188,-87.78905,95,2/16/2023 8:02:12,0,0
107,30171,O'Hare,1,40010,30001,Austin,2/16/2023 8:11:23,2/16/2023 8:13:23,,41.87188,-87.78905,95,2/16/2023 8:12:11,0,0
119,30171,O'Hare,1,40010,30001,Austin,2/16/2023 8:41:38,2/16/2023 8:43:38,,41.87188,-87.78905,95,2/16/2023 8:42:11,0,0
112,30171,O'Hare,1,40010,30001,Austin,2/16/2023 8:53:42,2/16/2023 8:55:42,,41.87188,-87.78905,95,2/16/2023 8:54:16,0,0
118,30171,O'Hare,1,40010,30001,Austin,2/16/2023 16:05:48,2/16/2023 16:07:48,,41.87188,-87.78905,95,2/16/2023 16:06:14,0,0
221,30171,O'Hare,1,40010,30001,Austin,2/16/2023 16:17:46,2/16/2023 16:19:46,,41.87188,-87.78905,95,2/16/2023 16:18:15,0,0
223,30171,O'Hare,1,40010,30001,Austin,2/16/2023 16:53:20,2/16/2023 16:55:20,,41.87188,-87.78905,95,2/16/2023 16:54:13,0,0
122,30171,O'Hare,1,40010,30001,Austin,2/16/2023 17:49:22,2/16/2023 17:51:22,,41.87188,-87.78905,95,2/16/2023 17:50:17,0,0
224,30171,O'Hare,1,40010,30001,Austin,2/15/2023 17:31:52,2/15/2023 17:32:52,,41.87109,-87.77971,94,2/15/2023 17:32:16,1,0
129,30171,O'Hare,1,40010,30001,Austin,2/15/2023 17:43:59,2/15/2023 17:44:59,,41.87109,-87.77971,94,2/15/2023 17:44:18,1,0
114,30171,O'Hare,1,40010,30001,Austin,2/16/2023 9:37:53,2/16/2023 9:38:53,,41.87109,-87.77971,94,2/16/2023 9:38:18,1,0
201,30171,O'Hare,1,40010,30001,Austin,2/16/2023 9:53:57,2/16/2023 9:54:57,,41.87109,-87.77971,94,2/16/2023 9:54:17,1,0
119,30171,O'Hare,1,40010,30001,Austin,2/16/2023 8:43:51,2/16/2023 8:44:51,,41.87109,-87.77971,94,2/16/2023 8:44:15,1,0
